epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, Si_f_mae, psavg_f_mae, Si_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,           3.0326,          0.95754,           2.0751,          0.71298,          0.88685,          0.71298,          0.71298,          0.88685,          0.88685,           83.536,           1.3052
    1,     2,           2.0465,          0.90972,           1.1368,           0.6895,          0.86442,           0.6895,           0.6895,          0.86442,          0.86442,           61.842,          0.96628
    1,     3,           1.3386,          0.76598,          0.57258,          0.63193,          0.79319,          0.63193,          0.63193,          0.79319,          0.79319,           43.885,           0.6857
    1,     4,          0.95362,          0.73195,          0.22167,          0.61747,          0.77538,          0.61747,          0.61747,          0.77538,          0.77538,           27.307,          0.42668
    1,     5,           0.7428,          0.69009,         0.052705,          0.60605,          0.75288,          0.60605,          0.60605,          0.75288,          0.75288,           13.298,          0.20779
    1,     6,          0.56205,          0.56183,       0.00021866,          0.54215,          0.67932,          0.54215,          0.54215,          0.67932,          0.67932,          0.82316,         0.012862
    1,     7,          0.59206,          0.55698,         0.035073,          0.53693,          0.67638,          0.53693,          0.53693,          0.67638,          0.67638,           10.851,          0.16955
    1,     8,          0.47151,          0.35361,           0.1179,          0.38556,          0.53893,          0.38556,          0.38556,          0.53893,          0.53893,           19.793,          0.30927
    1,     9,          0.59549,          0.35708,          0.23841,          0.43484,          0.54157,          0.43484,          0.43484,          0.54157,          0.54157,           28.306,          0.44228
    1,    10,          0.57776,          0.27964,          0.29811,          0.37744,          0.47926,          0.37744,          0.37744,          0.47926,          0.47926,           31.666,          0.49477
    1,    11,          0.56263,          0.24955,          0.31308,          0.36081,          0.45274,          0.36081,          0.36081,          0.45274,          0.45274,           32.448,            0.507
    1,    12,          0.53152,          0.24479,          0.28673,          0.35535,           0.4484,          0.35535,          0.35535,           0.4484,           0.4484,           31.055,          0.48524
    1,    13,          0.42513,          0.20168,          0.22344,            0.324,          0.40701,            0.324,            0.324,          0.40701,          0.40701,           27.416,          0.42838
    1,    14,          0.33204,          0.18153,          0.15052,          0.31148,          0.38614,          0.31148,          0.31148,          0.38614,          0.38614,           22.481,          0.35126
    1,    15,          0.22119,          0.14117,         0.080015,          0.27536,          0.34052,          0.27536,          0.27536,          0.34052,          0.34052,           16.394,          0.25616
    1,    16,          0.21666,          0.17848,         0.038177,          0.28941,          0.38289,          0.28941,          0.28941,          0.38289,          0.38289,           11.329,          0.17701
    2,     1,          0.14633,          0.13736,        0.0089626,          0.26937,           0.3359,          0.26937,          0.26937,           0.3359,           0.3359,           5.4699,         0.085467
    2,     2,          0.13681,          0.13677,       3.6461e-05,          0.26627,          0.33518,          0.26627,          0.26627,          0.33518,          0.33518,          0.31171,        0.0048705
    2,     3,           0.1376,          0.13284,        0.0047565,          0.25838,          0.33033,          0.25838,          0.25838,          0.33033,          0.33033,           3.8573,         0.060271
    2,     4,          0.12631,           0.1097,         0.016613,          0.23848,          0.30018,          0.23848,          0.23848,          0.30018,          0.30018,           7.4668,          0.11667
    2,     5,          0.15888,          0.13074,         0.028139,          0.25852,           0.3277,          0.25852,          0.25852,           0.3277,           0.3277,            9.727,          0.15198
    2,     6,          0.15565,           0.1183,         0.037357,           0.2187,          0.31171,           0.2187,           0.2187,          0.31171,          0.31171,           11.129,           0.1739
    2,     7,          0.19547,          0.15766,         0.037816,          0.28555,          0.35986,          0.28555,          0.28555,          0.35986,          0.35986,           11.251,           0.1758
    2,     8,           0.1818,          0.14352,         0.038283,          0.27313,          0.34334,          0.27313,          0.27313,          0.34334,          0.34334,           11.344,          0.17725
    2,     9,          0.16107,          0.12992,         0.031155,          0.26141,          0.32667,          0.26141,          0.26141,          0.32667,          0.32667,           10.236,          0.15994
    2,    10,          0.15577,          0.13484,         0.020934,           0.2625,          0.33279,           0.2625,           0.2625,          0.33279,          0.33279,           8.3751,          0.13086
    2,    11,          0.12514,          0.11085,         0.014281,          0.23909,          0.30175,          0.23909,          0.23909,          0.30175,          0.30175,           6.9234,          0.10818
    2,    12,          0.12611,          0.11883,         0.007282,          0.24626,          0.31242,          0.24626,          0.24626,          0.31242,          0.31242,           4.9374,         0.077147
    2,    13,          0.10372,          0.10085,         0.002864,          0.22692,          0.28782,          0.22692,          0.22692,          0.28782,          0.28782,           3.0134,         0.047084
    2,    14,         0.084504,         0.083694,       0.00081022,          0.20622,          0.26219,          0.20622,          0.20622,          0.26219,          0.26219,           1.5823,         0.024723
    2,    15,         0.086604,         0.086568,       3.5684e-05,          0.21164,          0.26666,          0.21164,          0.21164,          0.26666,          0.26666,          0.29549,        0.0046171
    2,    16,         0.078292,         0.077574,       0.00071721,           0.1998,          0.25242,           0.1998,           0.1998,          0.25242,          0.25242,           1.5009,         0.023452
    3,     1,         0.094836,         0.092563,        0.0022734,          0.21661,          0.27573,          0.21661,          0.21661,          0.27573,          0.27573,           2.7621,         0.043158
    3,     2,          0.10344,         0.098612,        0.0048237,          0.21813,           0.2846,          0.21813,          0.21813,           0.2846,           0.2846,           3.9807,         0.062199
    3,     3,         0.082193,         0.077323,          0.00487,          0.19301,          0.25201,          0.19301,          0.19301,          0.25201,          0.25201,           4.0418,         0.063153
    3,     4,         0.070845,         0.064109,        0.0067363,          0.17972,          0.22947,          0.17972,          0.17972,          0.22947,          0.22947,           4.7393,         0.074051
    3,     5,         0.083352,          0.07602,        0.0073319,          0.19049,          0.24988,          0.19049,          0.19049,          0.24988,          0.24988,           4.9596,         0.077493
    3,     6,         0.084453,         0.075462,        0.0089917,          0.19009,          0.24896,          0.19009,          0.19009,          0.24896,          0.24896,           5.4733,         0.085521
    3,     7,         0.071662,         0.063445,        0.0082168,          0.17828,          0.22828,          0.17828,          0.17828,          0.22828,          0.22828,            5.256,         0.082126
    3,     8,         0.077125,         0.068273,        0.0088523,          0.17794,          0.23681,          0.17794,          0.17794,          0.23681,          0.23681,           5.4449,         0.085076
    3,     9,         0.049029,         0.043246,        0.0057828,          0.12702,          0.18847,          0.12702,          0.12702,          0.18847,          0.18847,             4.37,         0.068281
    3,    10,         0.070929,         0.066054,        0.0048756,          0.17996,          0.23293,          0.17996,          0.17996,          0.23293,          0.23293,           4.0444,         0.063194
    3,    11,         0.065567,         0.062249,         0.003318,          0.17134,          0.22612,          0.17134,          0.17134,          0.22612,          0.22612,           3.3014,         0.051585
    3,    12,           0.0537,         0.052339,        0.0013618,          0.16166,          0.20734,          0.16166,          0.16166,          0.20734,          0.20734,           2.1303,         0.033286
    3,    13,         0.064473,         0.063715,       0.00075869,          0.17361,          0.22877,          0.17361,          0.17361,          0.22877,          0.22877,           1.5642,         0.024441
    3,    14,         0.048704,         0.048613,       9.0772e-05,          0.15591,          0.19982,          0.15591,          0.15591,          0.19982,          0.19982,          0.48309,        0.0075482
    3,    15,         0.038759,         0.038703,       5.6442e-05,          0.14063,           0.1783,          0.14063,          0.14063,           0.1783,           0.1783,          0.36037,        0.0056307
    3,    16,         0.046238,         0.045981,        0.0002571,          0.15124,          0.19434,          0.15124,          0.15124,          0.19434,          0.19434,           0.9186,         0.014353
    4,     1,         0.048454,         0.047609,       0.00084507,          0.14801,          0.19775,          0.14801,          0.14801,          0.19775,          0.19775,           1.6774,          0.02621
    4,     2,         0.043467,         0.042076,        0.0013915,          0.14446,           0.1859,          0.14446,          0.14446,           0.1859,           0.1859,           2.1479,         0.033561
    4,     3,         0.029847,         0.027408,        0.0024392,          0.12067,          0.15004,          0.12067,          0.12067,          0.15004,          0.15004,           2.8608,           0.0447
    4,     4,         0.039146,         0.036358,         0.002788,          0.13514,          0.17281,          0.13514,          0.13514,          0.17281,          0.17281,           3.0565,         0.047757
    4,     5,         0.029775,         0.026718,        0.0030567,          0.11807,          0.14814,          0.11807,          0.11807,          0.14814,          0.14814,           3.2028,         0.050043
    4,     6,         0.023865,         0.021093,        0.0027723,          0.10456,          0.13162,          0.10456,          0.10456,          0.13162,          0.13162,           3.0441,         0.047564
    4,     7,         0.021623,         0.019479,        0.0021441,         0.091705,          0.12649,         0.091705,         0.091705,          0.12649,          0.12649,           2.6826,         0.041916
    4,     8,          0.02287,         0.021349,        0.0015213,           0.1023,          0.13242,           0.1023,           0.1023,          0.13242,          0.13242,           2.2602,         0.035316
    4,     9,         0.021763,         0.020855,       0.00090863,          0.10231,          0.13088,          0.10231,          0.10231,          0.13088,          0.13088,           1.7481,         0.027314
    4,    10,         0.027187,         0.026908,       0.00027903,          0.10957,          0.14867,          0.10957,          0.10957,          0.14867,          0.14867,          0.95843,         0.014975
    4,    11,         0.024232,         0.024219,       1.3391e-05,          0.10454,          0.14104,          0.10454,          0.10454,          0.14104,          0.14104,          0.20366,        0.0031823
    4,    12,         0.018019,         0.017842,        0.0001773,         0.095306,          0.12106,         0.095306,         0.095306,          0.12106,          0.12106,          0.76012,         0.011877
    4,    13,          0.02573,         0.025027,       0.00070286,          0.10401,          0.14337,          0.10401,          0.10401,          0.14337,          0.14337,           1.5281,         0.023877
    4,    14,         0.020626,         0.019321,        0.0013048,          0.09829,          0.12598,          0.09829,          0.09829,          0.12598,          0.12598,           2.0929,         0.032702
    4,    15,         0.020938,          0.01895,        0.0019888,         0.096763,          0.12476,         0.096763,         0.096763,          0.12476,          0.12476,           2.5864,         0.040413
    4,    16,         0.022549,         0.020825,        0.0017241,          0.10069,          0.13079,          0.10069,          0.10069,          0.13079,          0.13079,           2.4062,         0.037596
    5,     1,          0.01985,         0.018239,         0.001611,         0.097775,           0.1224,         0.097775,         0.097775,           0.1224,           0.1224,           2.3242,         0.036316
    5,     2,         0.019032,         0.017998,        0.0010341,         0.096701,          0.12159,         0.096701,         0.096701,          0.12159,          0.12159,           1.8613,         0.029083
    5,     3,         0.019966,         0.019355,       0.00061023,         0.098553,          0.12609,         0.098553,         0.098553,          0.12609,          0.12609,           1.4254,         0.022272
    5,     4,         0.020862,         0.020595,        0.0002677,          0.10006,          0.13006,          0.10006,          0.10006,          0.13006,          0.13006,          0.94448,         0.014758
    5,     5,         0.020705,         0.020519,       0.00018627,         0.096993,          0.12982,         0.096993,         0.096993,          0.12982,          0.12982,          0.78944,         0.012335
    5,     6,         0.016472,         0.016335,       0.00013681,         0.090519,          0.11583,         0.090519,         0.090519,          0.11583,          0.11583,          0.67155,         0.010493
