epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_Si_f_mae,training_psavg_f_mae,training_Si_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_Si_f_mae,validation_psavg_f_mae,validation_Si_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,    8.080,    0.005,           0.4601,          0.36503,          0.82513,        0.466,        0.615,        0.466,        0.466,        0.615,        0.615,         28.9,        0.452,          0.16231,         0.056722,          0.21903,        0.288,        0.365,        0.288,        0.288,        0.365,        0.365,         13.8,        0.216
         2,   12.748,    0.005,          0.11938,         0.015628,            0.135,        0.245,        0.313,        0.245,        0.245,        0.313,        0.313,         6.09,       0.0951,         0.091858,       0.00094977,         0.092808,        0.217,        0.275,        0.217,        0.217,        0.275,        0.275,         1.76,       0.0275
         3,   17.417,    0.005,         0.064794,        0.0042873,         0.069081,        0.175,        0.231,        0.175,        0.175,        0.231,        0.231,         3.36,       0.0526,         0.054599,       0.00040787,         0.055007,        0.164,        0.212,        0.164,        0.164,        0.212,        0.212,         1.15,        0.018
         4,   22.061,    0.005,         0.026002,        0.0015036,         0.027506,        0.111,        0.146,        0.111,        0.111,        0.146,        0.146,         2.08,       0.0324,         0.020274,       0.00012921,         0.020403,       0.0997,        0.129,       0.0997,       0.0997,        0.129,        0.129,        0.648,       0.0101
         5,   26.741,    0.005,         0.017047,       0.00032547,         0.017373,       0.0918,        0.118,       0.0918,       0.0918,        0.118,        0.118,        0.879,       0.0137,         0.015339,       4.6894e-06,         0.015344,       0.0884,        0.112,       0.0884,       0.0884,        0.112,        0.112,       0.0994,      0.00155
         6,   31.440,    0.005,         0.014344,       2.6539e-05,          0.01437,       0.0846,        0.109,       0.0846,       0.0846,        0.109,        0.109,        0.249,      0.00389,         0.013346,       4.6604e-06,         0.013351,       0.0831,        0.105,       0.0831,       0.0831,        0.105,        0.105,        0.097,      0.00152
         7,   36.114,    0.005,          0.01276,       2.2442e-05,         0.012782,       0.0799,        0.102,       0.0799,       0.0799,        0.102,        0.102,        0.218,      0.00341,         0.012005,        4.944e-06,          0.01201,       0.0792,       0.0993,       0.0792,       0.0792,       0.0993,       0.0993,       0.0992,      0.00155
         8,   40.762,    0.005,          0.01155,       3.7544e-05,         0.011588,       0.0764,       0.0974,       0.0764,       0.0764,       0.0974,       0.0974,        0.307,       0.0048,         0.011007,       5.2923e-06,         0.011013,        0.076,       0.0951,        0.076,        0.076,       0.0951,       0.0951,        0.105,      0.00164
         9,   45.419,    0.005,         0.010658,       2.0896e-05,         0.010678,       0.0733,       0.0936,       0.0733,       0.0733,       0.0936,       0.0936,        0.218,      0.00341,         0.010208,       5.5136e-06,         0.010214,       0.0733,       0.0916,       0.0733,       0.0733,       0.0916,       0.0916,        0.107,      0.00167
        10,   50.137,    0.005,        0.0097073,       1.6407e-05,        0.0097237,         0.07,       0.0893,         0.07,         0.07,       0.0893,       0.0893,        0.187,      0.00292,        0.0094515,       6.1589e-06,        0.0094577,       0.0706,       0.0881,       0.0706,       0.0706,       0.0881,       0.0881,        0.116,      0.00181
